{'name': 'pitter    ', 'sex': 'ÄÐ', 'phone': '9908822   ', 'numb': 1}
{'name': 'hulk fuck ', 'sex': 'ÄÐ', 'phone': '36881     ', 'numb': 2}
{'name': 'tom&jerry ', 'sex': 'Å®', 'phone': '66662333  ', 'numb': 3}
{'name': 'pigpeggy  ', 'sex': 'ÄÐ', 'phone': '123456    ', 'numb': 4}
{'name': 'banner    ', 'sex': 'ÄÐ', 'phone': '10010     ', 'numb': 5}
{'name': 'alex      ', 'sex': 'ÄÐ', 'phone': '888988    ', 'numb': 6}
{'name': 'pretty    ', 'sex': 'Å®', 'phone': '88161     ', 'numb': 7}
{'name': '666       ', 'sex': 'Å®', 'phone': '87878789  ', 'numb': 8}
{'name': 'alex      ', 'sex': 'ÄÐ', 'phone': '888988    ', 'numb': 9}
{'name': 'pretty    ', 'sex': 'Å®', 'phone': '88161     ', 'numb': 10}
{'name': 'alex      ', 'sex': 'ÄÐ', 'phone': '888988    ', 'numb': 11}
{'name': 'asd       ', 'sex': 'Å®', 'phone': '8056      ', 'numb': 12}
{'name': 'alex mecer', 'sex': 'ÄÐ', 'phone': '11012     ', 'numb': 13}
{'name': 'micheal   ', 'sex': 'Å®', 'phone': '119521    ', 'numb': 14}
{'name': 'sweetysam ', 'sex': 'Å®', 'phone': '996996996', 'numb': 15}
